X,Y,Name,description,City Permittees,Trash Remaining (lbs),EPA Marine Debris Web Site,Reduction in 2011 (lbs),Percent Full Capture Device,Baseline Trash (lbs),Reduction in 2012 (lbs),Field_1
-118.19800000015,33.9249999999582,100%,,Lynwood,0,http://www.epa.gov/region9/marine-debris/zerotrash.html,27881,100%,46468,46468,100%
-118.29600000017,34.1889999996481,99%,,Burbank,1704,http://www.epa.gov/region9/marine-debris/zerotrash.html,102234,99%,170390,168686,99%
-118.230072999896,34.0039029998777,96%,,Vernon,2673,http://www.epa.gov/region9/marine-debris/zerotrash.html,40089,96%,66815,64142,96%
-118.172999999879,33.9690000000566,94%,,Bell Gardens,1402,http://www.epa.gov/region9/marine-debris/zerotrash.html,14022,94%,23370,21968,94%
-118.210000000244,33.9799999998287,94%,,Huntington Park,1856,http://www.epa.gov/region9/marine-debris/zerotrash.html,18558,94%,30930,29074,94%
-118.172999999879,33.9690000000566,92%,,Bell,2027,http://www.epa.gov/region9/marine-debris/zerotrash.html,15203,92%,25338,23311,92%
-118.112000000223,34.0149999997814,92%,,Montebello,6697,http://www.epa.gov/region9/marine-debris/zerotrash.html,50225,92%,83708,77011,92%
-118.159999999702,33.897,92%,,Paramount,3559,http://www.epa.gov/region9/marine-debris/zerotrash.html,26694,92%,44490,40931,92%
-118.438950999915,34.2819340000013,89%,,San Fernando,2470,http://www.epa.gov/region9/marine-debris/zerotrash.html,13847,89%,23078,20608,89%
-118.024000000132,34.1379999998489,86%,,Arcadia,13025,http://www.epa.gov/region9/marine-debris/zerotrash.html,55821,86%,93035,80010,86%
-118.027566999919,34.0686209998309,86%,,El Monte,9763,http://www.epa.gov/region9/marine-debris/zerotrash.html,40961,86%,68268,58505,86%
-117.977286999893,34.1394510003596,85%,,Duarte,3554,http://www.epa.gov/region9/marine-debris/zerotrash.html,14213,85%,23688,20134,85%
-118.186,33.9889999999538,85%,,Maywood,1582,http://www.epa.gov/region9/marine-debris/zerotrash.html,6330,85%,10550,8968,85%
-118.152,33.9980000002967,84%,,Commerce,13677,http://www.epa.gov/region9/marine-debris/zerotrash.html,51288,84%,85480,71803,84%
-118.081000000355,33.9980000002967,84%,,Pico Rivera,3608,http://www.epa.gov/region9/marine-debris/zerotrash.html,13530,84%,22550,18942,84%
-118.643000000123,34.1540000000613,80%,,Calabasas,10446,http://www.epa.gov/region9/marine-debris/zerotrash.html,31338,80%,52230,41784,80%
-118.150999999856,33.7800000002488,79%,,Signal Hill,2986,http://www.epa.gov/region9/marine-debris/zerotrash.html,8532,79%,14220,11234,79%
-118.242000000195,34.0469999999481,72%,,Los Angeles,720300,http://www.epa.gov/region9/marine-debris/zerotrash.html,1543500,72%,2572500,1852200,72%
-118.07283800021,34.0805700002077,70%,,Rosemead,14214,http://www.epa.gov/region9/marine-debris/zerotrash.html,28427,70%,47378,33164,70%
-118.55734099978,34.2807519997396,61%,,County of L.A. Areas,254204,http://www.epa.gov/region9/marine-debris/zerotrash.html,391083,61%,651805,397601,61%
-118.106458000385,34.1213970002232,60%,,San Marino,11659,http://www.epa.gov/region9/marine-debris/zerotrash.html,17489,60%,29148,17489,60%
-118.201999999582,34.207,38%,,La Canada-Fltrdge,45724,http://www.epa.gov/region9/marine-debris/zerotrash.html,44249,38%,73748,28024,38%
-118.046734000099,34.0519550003194,19%,,South El Monte,19699,http://www.epa.gov/region9/marine-debris/zerotrash.html,14592,19%,24320,4621,19%
-118.291999999839,34.1720000002521,18%,,Glendale,240668,http://www.epa.gov/region9/marine-debris/zerotrash.html,176099,18%,293498,52830,18%
-118.149999999773,34.04799999964,11%,,Monterey Park,13809,http://www.epa.gov/region9/marine-debris/zerotrash.html,42273,11%,70455,56646,11%
-117.970898000133,34.1469510002624,0%,,Bradbury,12160,http://www.epa.gov/region9/marine-debris/zerotrash.html,7296,0%,12160,0,0%
-118.239,33.8830000001132,0%,,Compton,86355,http://www.epa.gov/region9/marine-debris/zerotrash.html,51813,0%,86355,0,0%
-118.172999999879,33.9690000000566,0%,,Cudahy,10060,http://www.epa.gov/region9/marine-debris/zerotrash.html,6036,0%,10060,0,0%
-118.781481999907,34.2694470003393,0%,,Simi Valley,345,http://www.epa.gov/region9/marine-debris/zerotrash.html,207,0%,345,0,0%
-118.057000000166,34.1019999998475,Not opted,,Temple City,5632,http://www.epa.gov/region9/marine-debris/zerotrash.html,19092,Not opted,31820,26188,Not opted
-118.282015999804,33.8314060001284,100%,,Carson,0,http://www.epa.gov/region9/marine-debris/zerotrash.html,6125,100%,10208,10208,100%
-118.105833000221,34.0961109997616,93%,,San Gabriel,2624,http://www.epa.gov/region9/marine-debris/zerotrash.html,21863,93%,36438,33814,93%
-118.193999999819,33.9409999996436,86%,,South Gate,10127,http://www.epa.gov/region9/marine-debris/zerotrash.html,43400,86%,72333,62206,86%
-118.13,34.0900000003234,80%,,Alhambra,13752,http://www.epa.gov/region9/marine-debris/zerotrash.html,41256,80%,68760,55008,80%
-118.139999999844,34.1470000000507,60%,,Pasadena,83006,http://www.epa.gov/region9/marine-debris/zerotrash.html,124509,60%,207515,124509,60%
-118.05284599985,34.1616729998655,2%,,Sierra Madre,24689,http://www.epa.gov/region9/marine-debris/zerotrash.html,15116,2%,25193,504,2%
-118.150589999777,34.1161000003121,Not opted,,So. Pasadena,2751,http://www.epa.gov/region9/marine-debris/zerotrash.html,17015,Not opted,28358,25607,Not opted
-118.542518999713,34.3916179998533,,,Santa Clarita,2325,http://www.epa.gov/region9/marine-debris/zerotrash.html,1395,<Null>,2325,0,
-117.998999999861,34.1439999999407,Not opted,,Monrovia,5454,http://www.epa.gov/region9/marine-debris/zerotrash.html,60593,Not opted,100988,95534,Not opted
-118.65230999959,34.1602830002849,Not opted,,Hidden Hills,<Null>,http://www.epa.gov/region9/marine-debris/zerotrash.html,6492,Not opted,10820,<Null>,Not opted
